name,score1,score2,moves1,moves2,time1,time2
Max - Avg | VERTICAL - HORIZONTAL,1000,1000,196,195,0,1
Max - Gain | HORIZONTAL - VERTICAL,965,955,183,182,2,0
Max - Gain | VERTICAL - HORIZONTAL,1013,992,200,199,0,1
Gain - Max | HORIZONTAL - VERTICAL,887,889,161,160,2,0
Gain - Max | VERTICAL - HORIZONTAL,423,412,61,60,0,0
Avg - Gain | HORIZONTAL - VERTICAL,980,918,185,184,0,2
Avg - Gain | VERTICAL - HORIZONTAL,1012,958,195,194,0,2
Gain - Avg | HORIZONTAL - VERTICAL,966,1004,193,192,0,0
Gain - Avg | VERTICAL - HORIZONTAL,551,545,88,87,1,0
Avg - Max | HORIZONTAL - VERTICAL,996,990,194,193,0,0
Avg - Max | VERTICAL - HORIZONTAL,988,975,189,188,1,0
Max - Avg | HORIZONTAL - VERTICAL,949,960,177,176,1,0
Max - Avg | VERTICAL - HORIZONTAL,978,982,186,185,0,2
Max - Gain | HORIZONTAL - VERTICAL,956,941,181,180,0,2
Max - Gain | VERTICAL - HORIZONTAL,958,947,181,180,0,1
Gain - Max | HORIZONTAL - VERTICAL,992,1008,200,199,1,0
Gain - Max | VERTICAL - HORIZONTAL,1004,996,200,199,1,0
Avg - Gain | HORIZONTAL - VERTICAL,1005,926,190,189,2,1
Avg - Gain | VERTICAL - HORIZONTAL,1013,958,196,195,1,0
Gain - Avg | HORIZONTAL - VERTICAL,979,1010,198,197,2,0
Gain - Avg | VERTICAL - HORIZONTAL,984,1016,200,199,0,1
Avg - Max | HORIZONTAL - VERTICAL,969,955,178,177,0,0
Avg - Max | VERTICAL - HORIZONTAL,1008,992,200,199,0,1
Max - Avg | HORIZONTAL - VERTICAL,976,984,187,186,1,0
Max - Avg | VERTICAL - HORIZONTAL,1003,997,200,199,0,2
Max - Gain | HORIZONTAL - VERTICAL,1016,1002,200,199,1,2
Max - Gain | VERTICAL - HORIZONTAL,993,984,191,190,0,0
Gain - Max | HORIZONTAL - VERTICAL,1007,997,197,196,1,0
Gain - Max | VERTICAL - HORIZONTAL,1005,1013,200,199,1,0
Avg - Gain | HORIZONTAL - VERTICAL,926,906,173,172,2,0
Avg - Gain | VERTICAL - HORIZONTAL,934,899,172,171,0,2
Gain - Avg | HORIZONTAL - VERTICAL,883,907,168,167,1,1
Gain - Avg | VERTICAL - HORIZONTAL,984,1018,198,197,0,0
Avg - Max | HORIZONTAL - VERTICAL,1022,996,200,199,0,0
Avg - Max | VERTICAL - HORIZONTAL,1010,994,196,195,1,1
Max - Avg | HORIZONTAL - VERTICAL,1007,1011,200,199,1,0
Max - Avg | VERTICAL - HORIZONTAL,1007,1011,200,199,0,1
Max - Gain | HORIZONTAL - VERTICAL,987,981,182,181,0,2
Max - Gain | VERTICAL - HORIZONTAL,1031,1016,200,199,0,2
Gain - Max | HORIZONTAL - VERTICAL,916,910,171,170,3,0
Gain - Max | VERTICAL - HORIZONTAL,1011,1024,197,196,0,0
Avg - Gain | HORIZONTAL - VERTICAL,1058,989,200,199,1,1
Avg - Gain | VERTICAL - HORIZONTAL,976,944,184,183,0,2
Gain - Avg | HORIZONTAL - VERTICAL,955,985,186,185,1,0
Gain - Avg | VERTICAL - HORIZONTAL,883,905,163,162,1,1
Avg - Max | HORIZONTAL - VERTICAL,968,969,173,172,0,0
Avg - Max | VERTICAL - HORIZONTAL,1035,1012,200,199,0,1
Max - Avg | HORIZONTAL - VERTICAL,1014,1027,198,197,2,0
Max - Avg | VERTICAL - HORIZONTAL,1020,1021,198,197,0,0
Max - Gain | HORIZONTAL - VERTICAL,1035,1007,200,199,1,0
